;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
bei-jing-shi-feng-tai-qu-zhi-gong-da-xue 北京市丰台区职工大学
bei-jing-shi-gong-mao-ji-shi-xue-yuan 北京市工贸技师学院
bei-jing-shi-guang-bo-dian-shi-da-xue 北京市广播电视大学
bei-jing-shi-guo-tu-ju-dang-xiao 北京市国土局党校
bei-jing-shi-hai-dian-qu-she-hui-zhu-yi-xue-yuan 北京市海淀区社会主义学院
bei-jing-shi-huai-rou-qu-lao-gan-bu-da-xue 北京市怀柔区老干部大学
bei-jing-shi-ji-xie-gong-cheng-xue-yuan 北京市机械工程学院
bei-jing-shi-ji-xie-gong-ye-ju-zhi-gong-da-xue 北京市机械工业局职工大学
bei-jing-shi-ji-xie-ju-dang-xiao 北京市机械局党校
bei-jing-shi-ji-ying-cai-gao-deng-yan-xiu-xue-yuan 北京世纪英才高等研修学院
bei-jing-shi-jian-zhu-cai-liao-gong-ye-xue-xiao 北京市建筑材料工业学校
bei-jing-shi-jian-zhu-cai-liao-xue-yuan 北京市建筑材料学院
bei-jing-shi-jiao-yu-xue-yuan 北京市教育学院
bei-jing-shi-jing-ji-guan-li-gan-bu-xue-yuan 北京市经济管理干部学院
bei-jing-shi-ke-ji-jin-xiu-xue-yuan 北京市科技进修学院
bei-jing-shi-ke-xue-ji-shu-jin-xiu-xue-yuan 北京市科学技术进修学院
bei-jing-shi-lao-gan-bu-dang-xiao 北京市老干部党校
bei-jing-shi-nong-lin-ke-xue-yuan 北京市农林科学院
bei-jing-shi-nong-ye-guang-bo-dian-shi-xue-xiao 北京市农业广播电视学校
bei-jing-shi-nong-ye-ji-xie-ju-zhi-gong-da-xue 北京市农业机械局职工大学
bei-jing-shi-ren-min-jing-cha-xue-yuan 北京市人民警察学院
bei-jing-shi-shang-wu-ke-ji-xue-xiao 北京市商务科技学校
bei-jing-shi-shi-jing-shan-qu-wei-dang-xiao 北京市石景山区委党校
bei-jing-shi-shi-jing-shan-ye-yu-da-xue 北京市石景山业余大学
bei-jing-shi-shui-wu-ju-dang-xiao 北京市水务局党校
bei-jing-shi-shun-yi-qu-wei-dang-xiao 北京市顺义区委党校
bei-jing-shi-shun-yi-qu-xing-zheng-xue-xiao 北京市顺义区行政学校
bei-jing-shi-ti-yu-shi-fan-xue-yuan 北京市体育师范学院
bei-jing-shi-wai-guo-yu-xue-yuan 北京市外国语学院
bei-jing-shi-wei-dang-xiao 北京市委党校
bei-jing-shi-wei-shang-mao-gong-wei-dang-xiao 北京市委商贸工委党校
bei-jing-shi-xi-cheng-qu-jiao-yu-yan-xiu-xue-yuan 北京市西城区教育研修学院
bei-jing-shi-xi-cheng-qu-jing-ji-ke-xue-da-xue 北京市西城区经济科学大学
bei-jing-shi-xi-cheng-qu-wei-dang-xiao 北京市西城区委党校
bei-jing-shi-xi-qu-yi-shu-zhi-ye-xue-yuan 北京市戏曲艺术职业学院
bei-jing-shi-xin-xi-guan-li-xue-yuan 北京市信息管理学院
bei-jing-shi-yan-da-xue 北京实验大学
bei-jing-shi-yi-si-lan-jiao-jing-xue-yuan 北京市伊斯兰教经学院
bei-jing-shi-you-gan-bu-guan-li-xue-yuan 北京石油干部管理学院
bei-jing-shi-you-hua-gong-xue-yuan 北京石油化工学院
bei-jing-shi-you-xue-yuan 北京石油学院
bei-jing-shi-zheng-fa-xue-yuan 北京市政法学院
bei-jing-shi-zhi-gong-ti-yu-yun-dong-ji-shu-xue-yuan 北京市职工体育运动技术学院
bei-jing-shi-zi-dong-hua-gong-cheng-xue-xiao 北京市自动化工程学校
bei-jing-shi-zong-gong-hui-zhi-gong-da-xue 北京市总工会职工大学
bei-jing-ti-yu-da-xue 北京体育大学
bei-jing-tian-zhu-jiao-shen-zhe-xue-yuan 北京天主教神哲学院
bei-jing-tie-lu-ju-wei-yuan-hui-dang-xiao 北京铁路局委员会党校
bei-jing-ting-li-yu-yan-kang-fu-ji-shu-xue-yuan 北京听力语言康复技术学院
bei-jing-wai-guo-yu-da-xue 北京外国语大学
bei-jing-wai-shi-yan-xiu-xue-yuan 北京外事研修学院
bei-jing-wu-dao-xue-yuan 北京舞蹈学院
bei-jing-wu-zi-xue-yuan 北京物资学院
